Chip	Mean	Std
Chr01	0.8023	0.1301
Chr02	0.8037	0.1313
Chr03	0.8061	0.1311
Chr04	0.8042	0.1343
Chr05	0.8059	0.131
Chr06	0.8072	0.1318
Chr07	0.8056	0.1324
Chr08	0.8061	0.1316
Chr09	0.8047	0.1304
Chr10	0.804	0.1277
Chr11	0.8038	0.1309
Chr12	0.804	0.1303
Chr13	0.8041	0.1325
Chr14	0.8054	0.1283
Chr15	0.8079	0.13
Chr16	0.8054	0.128
Chr17	0.8057	0.1284
Chr18	0.8036	0.1309
Chr19	0.8109	0.1284
Chr20	0.8064	0.1267
Chr21	0.8085	0.1313
Chr22	0.8041	0.1283
Chr23	0.796	0.1521
Chip1	0.813	0.1733
Chip2	0.8041	0.1692
Merge	0.8047	0.1302
