Chip	Mean	Std
Chr01	0.4039	0.0462
Chr02	0.4052	0.047
Chr03	0.407	0.0481
Chr04	0.4063	0.0483
Chr05	0.4056	0.0476
Chr06	0.4071	0.0476
Chr07	0.4044	0.048
Chr08	0.4049	0.0479
Chr09	0.4039	0.0473
Chr10	0.4034	0.0465
Chr11	0.404	0.0471
Chr12	0.4041	0.0467
Chr13	0.4074	0.0484
Chr14	0.4056	0.0474
Chr15	0.4056	0.0476
Chr16	0.4043	0.0473
Chr17	0.4037	0.0477
Chr18	0.4054	0.0475
Chr19	0.4058	0.0481
Chr20	0.4041	0.0473
Chr21	0.4062	0.0487
Chr22	0.3988	0.0488
Chr23	0.4075	0.0484
Chip1	0.4137	0.068
Chip2	0.4018	0.0615
Merge	0.4051	0.0469
