Chip	Mean	Std
Chr01	0.399	0.0457
Chr02	0.4003	0.0464
Chr03	0.403	0.0477
Chr04	0.4018	0.0478
Chr05	0.4014	0.0472
Chr06	0.4035	0.0473
Chr07	0.4	0.0476
Chr08	0.4008	0.0475
Chr09	0.3996	0.0469
Chr10	0.3988	0.0459
Chr11	0.3994	0.0466
Chr12	0.4001	0.0463
Chr13	0.4029	0.0479
Chr14	0.4012	0.0468
Chr15	0.4018	0.0471
Chr16	0.3992	0.0467
Chr17	0.3988	0.0471
Chr18	0.4006	0.0468
Chr19	0.4018	0.0477
Chr20	0.399	0.0466
Chr21	0.4025	0.0482
Chr22	0.3937	0.0483
Chr23	0.4061	0.0485
Chip1	0.4093	0.0671
Chip2	0.3971	0.0604
Merge	0.4007	0.0465
