Chip	Mean	Std
Chr01	0.8139	0.1287
Chr02	0.8148	0.1298
Chr03	0.8161	0.1299
Chr04	0.8148	0.133
Chr05	0.8158	0.1296
Chr06	0.8165	0.1305
Chr07	0.816	0.1306
Chr08	0.8153	0.1299
Chr09	0.8153	0.1284
Chr10	0.8147	0.1263
Chr11	0.815	0.1298
Chr12	0.8144	0.1289
Chr13	0.8162	0.1323
Chr14	0.8153	0.1265
Chr15	0.8162	0.1278
Chr16	0.8165	0.1262
Chr17	0.8169	0.1271
Chr18	0.8144	0.129
Chr19	0.8204	0.1267
Chr20	0.8175	0.1251
Chr21	0.8174	0.1298
Chr22	0.8143	0.1263
Chr23	0.799	0.1494
Chip1	0.8231	0.1732
Chip2	0.815	0.1665
Merge	0.815	0.1287
