Probe_Set	Phy_position	CPA	chiptype
SNP_A-2098700	6888	1.4681	chip2
SNP_A-2211625	13043	1	chip2
SNP_A-1837999	18901	1.1619	chip1
SNP_A-2221204	34276	2.6966	chip2
SNP_A-4304383	38761	1.3939	chip2
SNP_A-1941777	43474	1.1794	chip2
SNP_A-4218752	46286	2.1841	chip1
SNP_A-1780843	52467	1.5341	chip2
SNP_A-1850219	53206	0.875	chip2
SNP_A-2251706	73422	1.4387	chip2
SNP_A-2073151	78232	0.9756	chip2
SNP_A-2080415	83173	0.8601	chip1
SNP_A-2275681	88813	0.7179	chip2
SNP_A-1879701	111099	0.8019	chip2
SNP_A-1856953	111223	0.6713	chip2
SNP_A-1791464	113794	0.6655	chip2
SNP_A-1928242	114669	1.5209	chip1
SNP_A-2165788	129225	1.3345	chip2
SNP_A-1788336	129457	1.3534	chip1
SNP_A-2293690	132994	1.351	chip1
SNP_A-2161449	139334	1.1833	chip2
SNP_A-4273017	139937	1.8497	chip2
SNP_A-2223648	141035	1.0716	chip1
SNP_A-4299892	172683	1.0388	chip2
SNP_A-4247317	172852	1.1916	chip2
SNP_A-2160809	173906	0.7632	chip1
SNP_A-1792289	183238	1.2981	chip2
SNP_A-2115350	198072	2.2111	chip1
SNP_A-2280509	198273	0.7215	chip1
SNP_A-1810468	222982	0.9435	chip2
SNP_A-4292792	223128	1.1016	chip2
SNP_A-1873597	228677	1	chip2
SNP_A-1909566	257873	0.9295	chip2
SNP_A-2247495	284495	0.9363	chip1
SNP_A-2251153	285508	1.1082	chip1
SNP_A-2200283	285707	0.7966	chip1
SNP_A-1876803	285907	0.9029	chip1
SNP_A-4203665	357201	0.9999	chip1
SNP_A-2294393	369801	1.4167	chip1
SNP_A-1952812	371849	0.9317	chip2
SNP_A-2147327	382971	0.6844	chip2
SNP_A-2066688	383058	0.4493	chip2
SNP_A-2117372	388025	0.7959	chip1
SNP_A-4281606	392912	0.8464	chip2
SNP_A-4290264	409073	0.7744	chip2
SNP_A-2056160	413221	0.3444	chip2
SNP_A-1956668	414707	0.9373	chip1
SNP_A-4202241	424221	1.0723	chip1
SNP_A-4239990	435356	0.6296	chip1
SNP_A-1879141	435793	0.6267	chip1
SNP_A-1832559	450509	1.5123	chip1
SNP_A-1832560	451209	0.6769	chip1
SNP_A-1832561	451728	0.7622	chip1
SNP_A-1832563	451977	1.7378	chip1
SNP_A-2212645	464870	1.2236	chip2
SNP_A-1832584	478479	0.9347	chip1
SNP_A-2110416	481275	0.495	chip1
SNP_A-2155768	506638	0.784	chip1
SNP_A-2080170	507354	0.8592	chip1
SNP_A-2288823	508994	1.1433	chip2
SNP_A-2140737	509228	0.8619	chip2
SNP_A-2107233	509245	0.5254	chip2
SNP_A-1896156	516366	1.2495	chip2
SNP_A-2169454	522254	0.6117	chip1
SNP_A-1862550	532225	0.6817	chip1
SNP_A-4295630	537828	1.2766	chip2
SNP_A-2087253	540350	0.9191	chip1
SNP_A-2235979	545061	0.865	chip2
SNP_A-2121054	547485	1.2365	chip2
SNP_A-1832649	549219	1.2554	chip2
SNP_A-1832661	560251	1.9748	chip1
SNP_A-4137942	561244	1.0495	chip2
SNP_A-4247428	561549	1.1907	chip2
SNP_A-2068607	571615	0.9169	chip2
SNP_A-1827343	576646	1.1134	chip1
SNP_A-1813568	579175	2.6014	chip1
SNP_A-1799147	579655	0.7674	chip1
SNP_A-1861616	589678	1.0174	chip1
SNP_A-2106836	590176	1.7698	chip1
SNP_A-2105291	595817	0.6083	chip2
SNP_A-2279570	595982	1.6725	chip2
SNP_A-4242304	600568	1.8946	chip2
SNP_A-4247432	609123	0.9019	chip2
SNP_A-4300038	614127	1.0298	chip2
SNP_A-2241413	639270	0.939	chip1
SNP_A-1832718	646770	0.8701	chip2
SNP_A-2056862	682112	0.8021	chip1
SNP_A-1791374	682518	1.2401	chip1
SNP_A-2186296	714985	0.1502	chip2
SNP_A-1953263	716217	0.7682	chip1
SNP_A-4282142	731167	1.8432	chip2
SNP_A-1855887	731386	1.1975	chip2
SNP_A-4291893	747318	1.1491	chip2
SNP_A-1832790	754255	1	chip1
SNP_A-1941956	767075	1.3861	chip2
SNP_A-2218835	770573	0.4371	chip2
SNP_A-1917030	774773	1.0175	chip2
SNP_A-2309543	787555	1.9435	chip2
SNP_A-1832808	800382	1.045	chip2
SNP_A-2267451	810301	1.2386	chip1
SNP_A-2163645	827403	0.9894	chip2
SNP_A-2044799	848580	0.8745	chip1
SNP_A-2204903	854657	0.8775	chip1
SNP_A-1882409	855252	0.862	chip1
SNP_A-2050914	855545	0.9175	chip1
SNP_A-2186515	883601	1.4001	chip1
SNP_A-4245674	897708	1.3219	chip2
SNP_A-2241245	917847	1.044	chip2
SNP_A-1831789	933971	1.0711	chip2
SNP_A-1832963	953196	0.8497	chip2
SNP_A-4268793	971144	2.0325	chip2
SNP_A-2005005	971362	1.6139	chip2
SNP_A-1809761	1000821	1.6499	chip2
SNP_A-2005006	1006780	0.6224	chip2
SNP_A-2092485	1018374	0.9425	chip2
SNP_A-4302473	1026950	1.362	chip2
SNP_A-4296990	1041111	0.9311	chip2
SNP_A-2115074	1050959	1.7653	chip2
SNP_A-2187477	1066623	1.0527	chip2
SNP_A-2221717	1128916	0.6795	chip2
SNP_A-2114489	1150367	0.7639	chip1
SNP_A-2119370	1172547	0.9396	chip1
SNP_A-1896099	1180365	1.2699	chip1
SNP_A-2069045	1180385	0.9225	chip1
SNP_A-4247789	1180598	0.5182	chip2
SNP_A-2069332	1185611	0.7763	chip2
SNP_A-2242026	1187943	0.7623	chip1
SNP_A-1831636	1196527	1	chip1
