Chip	Mean	Std
Chr01	0.4258	0.1093
Chr02	0.4241	0.1083
Chr03	0.43	0.1087
Chr04	0.4273	0.1129
Chr05	0.4303	0.1146
Chr06	0.4285	0.1126
Chr07	0.4263	0.1107
Chr08	0.4301	0.1099
Chr09	0.4314	0.109
Chr10	0.4284	0.1099
Chr11	0.427	0.1114
Chr12	0.4272	0.1125
Chr13	0.4261	0.1102
Chr14	0.419	0.1122
Chr15	0.4288	0.1079
Chr16	0.4274	0.1123
Chr17	0.4283	0.1155
Chr18	0.4244	0.1047
Chr19	0.43	0.123
Chr20	0.4263	0.1122
Chr21	0.4188	0.1171
Chr22	0.4276	0.1196
Chr23	0.42	0.0936
Chip1	0.4355	0.1412
Chip2	0.4328	0.1415
Merge	0.4268	0.1096
