Chip	Mean	Std
Chr01	0.827	0.2209
Chr02	0.8245	0.2258
Chr03	0.8292	0.2183
Chr04	0.8269	0.2254
Chr05	0.8287	0.2306
Chr06	0.8267	0.2258
Chr07	0.8243	0.2259
Chr08	0.8271	0.2201
Chr09	0.8319	0.2155
Chr10	0.8282	0.2196
Chr11	0.8293	0.2249
Chr12	0.826	0.2212
Chr13	0.8252	0.2276
Chr14	0.8231	0.2319
Chr15	0.8295	0.2157
Chr16	0.8331	0.2185
Chr17	0.8322	0.2305
Chr18	0.8275	0.2156
Chr19	0.8287	0.2235
Chr20	0.8313	0.2251
Chr21	0.8251	0.227
Chr22	0.828	0.2234
Chr23	0.8083	0.2068
Chip1	0.8298	0.2857
Chip2	0.8398	0.2755
Merge	0.8268	0.2218
