Chip	Mean	Std
Chr01	0.9057	0.2896
Chr02	0.9052	0.2953
Chr03	0.906	0.2842
Chr04	0.9007	0.292
Chr05	0.9137	0.3018
Chr06	0.9125	0.2977
Chr07	0.9126	0.3038
Chr08	0.911	0.2917
Chr09	0.909	0.2797
Chr10	0.9042	0.2851
Chr11	0.9109	0.3006
Chr12	0.9083	0.2904
Chr13	0.9109	0.3035
Chr14	0.9004	0.3019
Chr15	0.9126	0.2931
Chr16	0.9118	0.2856
Chr17	0.908	0.299
Chr18	0.9075	0.282
Chr19	0.9181	0.2953
Chr20	0.9158	0.3003
Chr21	0.9061	0.3041
Chr22	0.9301	0.3232
Chr23	0.8897	0.2745
Chip1	0.9366	0.4025
Chip2	0.9032	0.3551
Merge	0.9078	0.2919
