Chip	Mean	Std
Chr01	0.8202	0.2586
Chr02	0.8181	0.2585
Chr03	0.8235	0.2556
Chr04	0.8204	0.2576
Chr05	0.8199	0.2582
Chr06	0.819	0.2574
Chr07	0.8178	0.2576
Chr08	0.819	0.2588
Chr09	0.8257	0.2583
Chr10	0.8225	0.2593
Chr11	0.8211	0.2609
Chr12	0.822	0.2598
Chr13	0.8165	0.2609
Chr14	0.8169	0.2584
Chr15	0.8221	0.2584
Chr16	0.8233	0.2565
Chr17	0.8238	0.2607
Chr18	0.8195	0.2543
Chr19	0.8273	0.2572
Chr20	0.8201	0.2657
Chr21	0.8158	0.2589
Chr22	0.8218	0.2723
Chr23	0.7949	0.2629
Chip1	0.824	0.3265
Chip2	0.835	0.3234
Merge	0.8195	0.257
