Chip	Mean	Std
Chr01	0.3963	0.1008
Chr02	0.3953	0.0995
Chr03	0.4011	0.1002
Chr04	0.3989	0.101
Chr05	0.3969	0.0994
Chr06	0.3952	0.0978
Chr07	0.395	0.0993
Chr08	0.3966	0.1
Chr09	0.4027	0.1018
Chr10	0.3992	0.1032
Chr11	0.3972	0.0999
Chr12	0.398	0.1002
Chr13	0.3917	0.0984
Chr14	0.3935	0.1024
Chr15	0.4015	0.1041
Chr16	0.399	0.1056
Chr17	0.3987	0.1073
Chr18	0.4	0.1024
Chr19	0.4066	0.1136
Chr20	0.3958	0.1054
Chr21	0.3885	0.1
Chr22	0.397	0.108
Chr23	0.3777	0.0896
Chip1	0.3948	0.119
Chip2	0.4144	0.1373
Merge	0.3965	0.0995
