Chip	Mean	Std
Chr01	0.404	0.1104
Chr02	0.403	0.1094
Chr03	0.4088	0.1094
Chr04	0.4063	0.1099
Chr05	0.4051	0.11
Chr06	0.4036	0.1086
Chr07	0.4034	0.1098
Chr08	0.4046	0.11
Chr09	0.4104	0.1113
Chr10	0.4065	0.1122
Chr11	0.4046	0.1098
Chr12	0.4062	0.1102
Chr13	0.4	0.109
Chr14	0.4012	0.112
Chr15	0.4088	0.1136
Chr16	0.4067	0.1143
Chr17	0.4064	0.1164
Chr18	0.4075	0.1114
Chr19	0.4161	0.123
Chr20	0.4039	0.1157
Chr21	0.3968	0.1102
Chr22	0.4076	0.1209
Chr23	0.3813	0.0959
Chip1	0.4046	0.133
Chip2	0.4209	0.1464
Merge	0.4042	0.1092
