Chip	Mean	Std
Chr01	0.4145	0.0474
Chr02	0.4157	0.0488
Chr03	0.4198	0.0473
Chr04	0.4171	0.0469
Chr05	0.4165	0.0482
Chr06	0.4169	0.0477
Chr07	0.4168	0.0472
Chr08	0.4162	0.0464
Chr09	0.4153	0.0472
Chr10	0.4136	0.0468
Chr11	0.4174	0.0475
Chr12	0.4166	0.0463
Chr13	0.4178	0.0472
Chr14	0.4179	0.0488
Chr15	0.416	0.0482
Chr16	0.416	0.049
Chr17	0.4156	0.0485
Chr18	0.4177	0.0486
Chr19	0.4142	0.0491
Chr20	0.4137	0.0476
Chr21	0.4202	0.0509
Chr22	0.4145	0.0474
Chr23	0.428	0.0454
Chip1	0.4219	0.0612
Chip2	0.4154	0.0631
Merge	0.4166	0.047
