Chip	Mean	Std
Chr01	0.4131	0.0476
Chr02	0.4145	0.0491
Chr03	0.4187	0.0475
Chr04	0.4164	0.0473
Chr05	0.4154	0.0486
Chr06	0.4155	0.048
Chr07	0.4156	0.0475
Chr08	0.4155	0.0468
Chr09	0.4133	0.0474
Chr10	0.412	0.0472
Chr11	0.4159	0.0478
Chr12	0.4154	0.0468
Chr13	0.4171	0.0477
Chr14	0.4165	0.049
Chr15	0.4153	0.0489
Chr16	0.4143	0.0494
Chr17	0.4144	0.0491
Chr18	0.4167	0.0489
Chr19	0.4131	0.0493
Chr20	0.4114	0.0477
Chr21	0.4197	0.0512
Chr22	0.4116	0.0472
Chr23	0.4275	0.0455
Chip1	0.4205	0.0614
Chip2	0.4143	0.0638
Merge	0.4154	0.0473
