Chip	Mean	Std
Chr01	0.8178	0.1138
Chr02	0.8193	0.1178
Chr03	0.8219	0.1122
Chr04	0.8205	0.1115
Chr05	0.8199	0.1141
Chr06	0.8192	0.113
Chr07	0.8197	0.1142
Chr08	0.8198	0.1112
Chr09	0.8178	0.1152
Chr10	0.8174	0.1152
Chr11	0.8193	0.1119
Chr12	0.8186	0.1128
Chr13	0.8195	0.1103
Chr14	0.8198	0.1132
Chr15	0.8216	0.1188
Chr16	0.8203	0.1209
Chr17	0.8203	0.1194
Chr18	0.821	0.1158
Chr19	0.8221	0.1197
Chr20	0.8184	0.113
Chr21	0.825	0.1141
Chr22	0.8168	0.121
Chr23	0.8036	0.1038
Chip1	0.8234	0.1402
Chip2	0.8205	0.1587
Merge	0.8192	0.1128
