Chip	Mean	Std
Chr01	0.8395	0.1979
Chr02	0.8394	0.2076
Chr03	0.8438	0.205
Chr04	0.8434	0.2175
Chr05	0.84	0.2053
Chr06	0.8405	0.2116
Chr07	0.8418	0.2143
Chr08	0.8419	0.2061
Chr09	0.846	0.2066
Chr10	0.8425	0.1949
Chr11	0.8406	0.2058
Chr12	0.8417	0.2022
Chr13	0.8403	0.2178
Chr14	0.8374	0.2061
Chr15	0.8418	0.1967
Chr16	0.8446	0.1922
Chr17	0.8444	0.196
Chr18	0.843	0.2051
Chr19	0.8518	0.2001
Chr20	0.8391	0.1895
Chr21	0.8351	0.2108
Chr22	0.846	0.1914
Chr23	0.807	0.2213
Chip1	0.845	0.2804
Chip2	0.8526	0.2848
Merge	0.8405	0.2041
