Chip	Mean	Std
Chr01	0.4031	0.0716
Chr02	0.4052	0.074
Chr03	0.4094	0.0756
Chr04	0.4092	0.0765
Chr05	0.4061	0.0741
Chr06	0.403	0.0738
Chr07	0.4064	0.0747
Chr08	0.4081	0.0737
Chr09	0.4119	0.0764
Chr10	0.4094	0.0722
Chr11	0.4065	0.073
Chr12	0.4063	0.0737
Chr13	0.402	0.0759
Chr14	0.4005	0.0738
Chr15	0.4101	0.0737
Chr16	0.4105	0.0784
Chr17	0.4109	0.0773
Chr18	0.4104	0.0767
Chr19	0.4142	0.0843
Chr20	0.4055	0.0738
Chr21	0.3959	0.0764
Chr22	0.414	0.0834
Chr23	0.379	0.07
Chip1	0.4072	0.1085
Chip2	0.4199	0.1116
Merge	0.4058	0.0731
