Chip	Mean	Std
Chr01	0.4226	0.0652
Chr02	0.4205	0.0658
Chr03	0.4275	0.0685
Chr04	0.4267	0.0674
Chr05	0.424	0.0657
Chr06	0.427	0.0652
Chr07	0.4224	0.0647
Chr08	0.4268	0.0641
Chr09	0.4219	0.0663
Chr10	0.4245	0.0661
Chr11	0.4261	0.0682
Chr12	0.4301	0.0665
Chr13	0.4242	0.0677
Chr14	0.4224	0.0629
Chr15	0.4299	0.0657
Chr16	0.4263	0.0695
Chr17	0.4271	0.0662
Chr18	0.4264	0.0722
Chr19	0.4269	0.0751
Chr20	0.424	0.0683
Chr21	0.4188	0.0698
Chr22	0.4282	0.0635
Chr23	0.4335	0.0613
Chip1	0.4482	0.1033
Chip2	0.4244	0.1398
Merge	0.4249	0.0652
