Chip	Mean	Std
Chr01	0.8182	0.1548
Chr02	0.8166	0.1571
Chr03	0.8211	0.159
Chr04	0.821	0.1601
Chr05	0.8197	0.1582
Chr06	0.8183	0.1587
Chr07	0.8169	0.1611
Chr08	0.8184	0.1517
Chr09	0.8223	0.1588
Chr10	0.8192	0.1564
Chr11	0.8212	0.1624
Chr12	0.8204	0.1618
Chr13	0.8183	0.1621
Chr14	0.8179	0.1536
Chr15	0.821	0.1582
Chr16	0.8235	0.1617
Chr17	0.8209	0.1574
Chr18	0.8185	0.1651
Chr19	0.8257	0.1512
Chr20	0.8217	0.158
Chr21	0.818	0.1676
Chr22	0.8213	0.142
Chr23	0.8006	0.1413
Chip1	0.8287	0.1973
Chip2	0.8274	0.3068
Merge	0.8189	0.1567
