Chip	Mean	Std
Chr01	0.885	0.1914
Chr02	0.8793	0.1962
Chr03	0.8853	0.1952
Chr04	0.8849	0.1976
Chr05	0.8883	0.2026
Chr06	0.8863	0.1973
Chr07	0.8868	0.2018
Chr08	0.8844	0.1861
Chr09	0.88	0.1942
Chr10	0.8783	0.1868
Chr11	0.8861	0.202
Chr12	0.8899	0.1993
Chr13	0.8909	0.2053
Chr14	0.8841	0.1873
Chr15	0.883	0.192
Chr16	0.8868	0.1897
Chr17	0.8801	0.1859
Chr18	0.8837	0.2046
Chr19	0.893	0.1829
Chr20	0.8843	0.1937
Chr21	0.8795	0.2076
Chr22	0.9038	0.1725
Chr23	0.8736	0.1801
Chip1	0.92	0.2606
Chip2	0.8706	0.3634
Merge	0.8844	0.1937
