Chip	Mean	Std
Chr01	0.3865	0.0445
Chr02	0.3879	0.0481
Chr03	0.3909	0.0472
Chr04	0.3887	0.0471
Chr05	0.389	0.0456
Chr06	0.3901	0.0463
Chr07	0.3881	0.0456
Chr08	0.3888	0.0459
Chr09	0.3875	0.0469
Chr10	0.3858	0.0451
Chr11	0.3854	0.0454
Chr12	0.3841	0.0476
Chr13	0.3902	0.0474
Chr14	0.3893	0.0474
Chr15	0.3881	0.0466
Chr16	0.3875	0.0461
Chr17	0.391	0.0467
Chr18	0.3885	0.0472
Chr19	0.3962	0.0455
Chr20	0.3851	0.045
Chr21	0.3866	0.0466
Chr22	0.3814	0.0458
Chr23	0.4	0.0499
Chip1	0.3952	0.0724
Chip2	0.3893	0.0732
Merge	0.3882	0.0455
