Chip	Mean	Std
Chr01	0.7733	0.1077
Chr02	0.7753	0.1207
Chr03	0.7768	0.1121
Chr04	0.7743	0.1147
Chr05	0.7758	0.1088
Chr06	0.778	0.1102
Chr07	0.7757	0.1111
Chr08	0.7747	0.1114
Chr09	0.7743	0.1116
Chr10	0.7739	0.1084
Chr11	0.7734	0.1086
Chr12	0.7727	0.1122
Chr13	0.7753	0.115
Chr14	0.7748	0.1097
Chr15	0.7739	0.1104
Chr16	0.7753	0.1093
Chr17	0.7787	0.106
Chr18	0.7743	0.1145
Chr19	0.7786	0.1049
Chr20	0.7715	0.104
Chr21	0.7742	0.1103
Chr22	0.771	0.11
Chr23	0.7662	0.1281
Chip1	0.7816	0.1751
Chip2	0.7766	0.1567
Merge	0.7746	0.1099
