Chip	Mean	Std
Chr01	0.773	0.1108
Chr02	0.7757	0.1242
Chr03	0.7769	0.1152
Chr04	0.7755	0.1188
Chr05	0.7764	0.1128
Chr06	0.779	0.1141
Chr07	0.7766	0.1149
Chr08	0.7756	0.1139
Chr09	0.7742	0.1148
Chr10	0.7744	0.1118
Chr11	0.7737	0.112
Chr12	0.7726	0.1152
Chr13	0.7764	0.1187
Chr14	0.7743	0.1125
Chr15	0.7761	0.114
Chr16	0.7754	0.1123
Chr17	0.7799	0.1098
Chr18	0.774	0.1178
Chr19	0.7805	0.1102
Chr20	0.7707	0.1068
Chr21	0.7751	0.1129
Chr22	0.77	0.1136
Chr23	0.7681	0.1316
Chip1	0.781	0.1817
Chip2	0.7784	0.1621
Merge	0.7751	0.1132
