Probe_Set	Phy_position	CPA	chiptype
SNP_A-1666553	627050	0.5004	chip1
SNP_A-1715750	840485	0.7679	chip1
SNP_A-1726331	1793138	1.4301	chip1
SNP_A-1685712	1827483	1.6573	chip2
SNP_A-1735899	1861503	1.1258	chip2
SNP_A-1726272	2335651	1.0899	chip2
SNP_A-1660936	2391922	1.0952	chip1
SNP_A-1662285	2392310	1.5582	chip1
SNP_A-1680848	2462432	0.9795	chip2
SNP_A-1671440	2475729	0.8792	chip2
SNP_A-1719355	2485899	1.0308	chip2
SNP_A-1716499	2486008	1.3836	chip2
SNP_A-1643847	2502302	0.6667	chip1
SNP_A-1646007	2545285	1.3167	chip1
SNP_A-1715285	2575296	1.7915	chip2
SNP_A-1657714	2577377	1.1422	chip2
SNP_A-1725038	2577547	0.8662	chip2
SNP_A-1713938	2577647	1.4476	chip2
SNP_A-1708565	2637829	0.7865	chip1
SNP_A-1688287	2745539	1.3154	chip1
SNP_A-1688573	2745741	1.6711	chip1
SNP_A-1648908	2832253	1.2997	chip2
SNP_A-1684812	2954799	1.8842	chip2
SNP_A-1656924	3040426	0.6803	chip1
SNP_A-1667173	3076505	1.2524	chip1
SNP_A-1709020	3094785	1.0799	chip1
SNP_A-1714355	3137322	1.0767	chip1
SNP_A-1714528	3137428	1.246	chip1
SNP_A-1649173	3184698	1.074	chip1
SNP_A-1703865	3208787	1.0282	chip2
SNP_A-1752343	3226908	0.9938	chip2
SNP_A-1644927	3332666	1.6349	chip1
SNP_A-1653395	3702817	0.4512	chip1
SNP_A-1742911	3891944	1	chip2
SNP_A-1750936	3958553	0.5319	chip1
SNP_A-1643633	3996656	1.1755	chip1
SNP_A-1739123	4019487	1.0764	chip2
SNP_A-1658016	4056131	0.7995	chip2
SNP_A-1692639	4063502	0.9515	chip1
SNP_A-1694178	4075592	2.6261	chip1
SNP_A-1696768	4117292	0.9742	chip2
SNP_A-1707059	4129808	1.6126	chip2
SNP_A-1647096	4153611	1.2485	chip2
SNP_A-1744684	4160894	0.4721	chip1
SNP_A-1744814	4161050	1.5096	chip1
SNP_A-1745002	4161305	1.4953	chip1
SNP_A-1733060	4186972	1	chip2
SNP_A-1682937	4238766	1.0547	chip1
SNP_A-1720309	4316277	1.4216	chip2
SNP_A-1660969	4316715	1.0706	chip2
SNP_A-1720051	4708009	1.1948	chip2
SNP_A-1743985	4907972	0.8923	chip2
SNP_A-1671840	4964208	0.5258	chip2
SNP_A-1710692	4970661	0.9575	chip1
SNP_A-1710807	4971413	1.1813	chip1
SNP_A-1668949	4976851	0.9641	chip2
SNP_A-1712770	4981188	0.7268	chip1
SNP_A-1714458	4983496	0.8836	chip1
SNP_A-1645561	5021740	1.5045	chip1
SNP_A-1647491	5031721	0.5708	chip1
SNP_A-1647587	5031806	2.1079	chip1
SNP_A-1696387	5076956	1.051	chip1
SNP_A-1710806	5093351	1.0401	chip2
SNP_A-1696218	5373146	1.0569	chip2
SNP_A-1747964	5530342	0.9374	chip1
SNP_A-1649967	5576394	1.1312	chip1
SNP_A-1651343	5579370	1.4085	chip1
SNP_A-1691118	5588366	0.5837	chip2
SNP_A-1669095	5600519	0.7455	chip2
SNP_A-1661727	5630231	1.0275	chip1
SNP_A-1665601	5658088	1.1943	chip1
SNP_A-1705506	5682439	0.8703	chip1
SNP_A-1687380	5704032	0.9651	chip2
SNP_A-1714173	5709290	2.1426	chip1
SNP_A-1714291	5709394	2.0095	chip1
SNP_A-1714416	5709987	1.2127	chip1
SNP_A-1643773	5774199	1.5172	chip1
SNP_A-1677740	5777410	0.5125	chip2
SNP_A-1670978	5793856	1.0687	chip2
SNP_A-1646884	5909914	1.2266	chip2
SNP_A-1662122	5984553	1.4505	chip2
SNP_A-1755484	6009504	1.5714	chip2
SNP_A-1686544	6009940	1.2193	chip2
SNP_A-1752006	6045657	0.9092	chip1
SNP_A-1730130	6105671	0.7618	chip2
SNP_A-1729628	6114164	0.7254	chip2
SNP_A-1688439	6169284	0.4838	chip1
SNP_A-1690148	6179460	0.6446	chip1
SNP_A-1691513	6180418	1.0976	chip1
SNP_A-1698992	6238611	1.4204	chip1
SNP_A-1711372	6346577	0.9744	chip2
SNP_A-1752692	6354695	0.7177	chip1
SNP_A-1651304	6357860	1.3289	chip2
SNP_A-1720685	6587813	0.9483	chip2
SNP_A-1749687	6642607	0.9047	chip2
SNP_A-1648242	6693450	1.6452	chip2
SNP_A-1715353	6961223	0.9373	chip2
SNP_A-1719217	6975884	1.927	chip2
SNP_A-1683189	7038374	1.2225	chip1
SNP_A-1716387	7085406	1.2974	chip2
SNP_A-1701243	7119083	0.6074	chip2
SNP_A-1741635	7129665	0.7177	chip2
SNP_A-1716842	7267912	1.0979	chip1
SNP_A-1754825	7279320	0.9551	chip1
SNP_A-1642973	7338958	3.3953	chip2
SNP_A-1687294	7571263	1.3382	chip2
SNP_A-1696223	7576555	1.3006	chip1
SNP_A-1696363	7576679	0.9351	chip1
SNP_A-1653418	7638091	0.877	chip2
SNP_A-1708720	7669035	0.8721	chip1
SNP_A-1746676	7688210	0.6012	chip1
SNP_A-1747160	7695839	0.9036	chip1
SNP_A-1695465	7705631	1.4746	chip2
SNP_A-1757720	7788006	1.335	chip1
SNP_A-1646969	7799976	1.8115	chip1
SNP_A-1647145	7800654	1	chip1
SNP_A-1647309	7801948	1.5259	chip1
SNP_A-1685405	7806511	2.5008	chip1
SNP_A-1690566	7824884	0.8837	chip1
SNP_A-1690676	7825495	1.8024	chip1
SNP_A-1672664	7880693	0.7646	chip2
SNP_A-1671844	7911269	0.9289	chip2
SNP_A-1677591	8015498	1.1304	chip1
SNP_A-1677749	8016092	1.0998	chip1
SNP_A-1725702	8131298	1.3054	chip2
SNP_A-1743592	8231702	1.9573	chip1
SNP_A-1743910	8233086	0.6185	chip1
SNP_A-1744036	8233152	1.3594	chip1
SNP_A-1744172	8233208	1.2182	chip1
SNP_A-1711136	8245875	1.0825	chip2
SNP_A-1752713	8256518	1.9568	chip2
SNP_A-1749413	8256555	1.2033	chip2
SNP_A-1726450	8256714	0.792	chip2
SNP_A-1675486	8278865	1.089	chip1
SNP_A-1680438	8301868	1.5158	chip2
SNP_A-1724313	8345492	0.7747	chip1
SNP_A-1726079	8353726	0.6674	chip1
SNP_A-1726271	8354124	1.4042	chip1
SNP_A-1727944	8367112	1.82	chip1
SNP_A-1728030	8367329	0.7445	chip1
SNP_A-1685332	8417665	0.9052	chip2
SNP_A-1740088	8448273	1.1972	chip1
SNP_A-1645491	8475201	1.2081	chip1
SNP_A-1661167	8542558	0.7599	chip2
SNP_A-1697381	8564476	1.6109	chip1
SNP_A-1697804	8568505	1	chip1
SNP_A-1740967	8570495	1.0214	chip2
SNP_A-1711592	8626493	1.3102	chip2
SNP_A-1744802	8642026	1.2538	chip1
SNP_A-1749842	8671014	0.9468	chip1
SNP_A-1699701	8798982	0.8946	chip2
SNP_A-1749209	8803799	1.0972	chip2
SNP_A-1654365	8820080	1.0788	chip2
SNP_A-1650556	8834087	0.875	chip2
SNP_A-1731487	8834593	0.756	chip2
SNP_A-1743606	8883005	1.1161	chip1
SNP_A-1745337	8901312	1.0581	chip1
SNP_A-1747580	8929729	1	chip1
SNP_A-1702703	9179005	0.7366	chip2
SNP_A-1741320	9235327	1.5351	chip1
SNP_A-1670425	9301848	1.0064	chip1
SNP_A-1672609	9332130	1.5776	chip1
SNP_A-1672767	9332167	1.2407	chip1
SNP_A-1728614	9491161	1.1595	chip1
SNP_A-1732346	9531393	1.2691	chip1
SNP_A-1735798	9544564	0.6616	chip1
SNP_A-1666603	9583839	0.7704	chip1
SNP_A-1654501	9624353	0.9573	chip2
SNP_A-1735757	9624507	1.9336	chip2
SNP_A-1692911	9660518	0.7974	chip1
SNP_A-1694841	9775521	1.3617	chip2
SNP_A-1708598	9851763	0.9775	chip2
SNP_A-1656611	9932695	1	chip2
SNP_A-1727593	9982137	1.3246	chip2
SNP_A-1738126	9992455	1.0122	chip2
SNP_A-1717395	9999178	0.5674	chip2
SNP_A-1695358	10003331	0.5099	chip1
SNP_A-1697368	10033864	0.8999	chip2
SNP_A-1673296	10108081	0.5285	chip2
SNP_A-1701823	10115383	1.1584	chip2
SNP_A-1683086	10124322	1.5172	chip2
SNP_A-1749404	10143665	1.4051	chip1
SNP_A-1673621	10162343	0.9693	chip1
SNP_A-1677429	10189801	1.4988	chip1
SNP_A-1679063	10193929	0.8405	chip1
SNP_A-1682939	10210032	1	chip1
SNP_A-1674006	10272745	1.2769	chip2
SNP_A-1733623	10308325	0.5741	chip1
SNP_A-1725290	10545521	0.7503	chip2
SNP_A-1666059	10555454	1.5718	chip1
SNP_A-1669846	10597327	1.2169	chip1
SNP_A-1671677	10615565	0.925	chip1
SNP_A-1643722	10625012	0.9563	chip2
SNP_A-1754772	10821206	0.9866	chip2
SNP_A-1724039	10860639	1.1066	chip1
SNP_A-1734695	11064255	0.8587	chip1
SNP_A-1739275	11084486	1.1635	chip2
SNP_A-1649330	11090993	0.4965	chip2
SNP_A-1717923	11100130	0.5905	chip2
SNP_A-1661943	11131625	0.9754	chip1
SNP_A-1668880	11213026	0.886	chip1
SNP_A-1660329	11287192	1.0351	chip2
SNP_A-1704529	11397944	1.1433	chip2
SNP_A-1693865	11407496	1.1929	chip2
SNP_A-1721577	11565153	0.9419	chip1
SNP_A-1721737	11566456	0.8837	chip1
SNP_A-1721871	11566611	1.6231	chip1
SNP_A-1705675	11615542	0.5459	chip2
SNP_A-1739160	11631130	0.8243	chip1
SNP_A-1744168	11665007	1.3413	chip1
SNP_A-1746183	11710277	1.4486	chip1
SNP_A-1693109	11919452	1.3641	chip1
SNP_A-1745482	11926795	1.9728	chip2
SNP_A-1733507	11930107	1.091	chip1
SNP_A-1684906	11958570	1.0694	chip2
SNP_A-1669600	12046769	0.8054	chip1
SNP_A-1727341	12062028	0.6287	chip2
SNP_A-1718009	12063484	2.0824	chip2
SNP_A-1681729	12085796	1.0677	chip1
SNP_A-1646118	12181502	1.4385	chip2
SNP_A-1660503	12181529	0.6022	chip2
