Probe_Set	Phy_position	CPA	chiptype
SNP_A-1654532	9928594	1.7421	chip1
SNP_A-1672797	10000969	0.4767	chip1
SNP_A-1722097	10019412	0.527	chip1
SNP_A-1722293	10019671	1	chip1
SNP_A-1676906	10039984	2.0334	chip2
SNP_A-1696780	13492945	1	chip2
SNP_A-1644380	13574779	0.7222	chip2
SNP_A-1755943	13837355	1	chip1
SNP_A-1756043	13837926	1.4643	chip1
SNP_A-1738735	13950406	1	chip2
SNP_A-1736301	13950882	1	chip2
SNP_A-1689265	14041746	1.454	chip1
SNP_A-1691905	14093517	0.5127	chip1
SNP_A-1728394	14159992	1.8861	chip1
SNP_A-1664767	14244707	0.5285	chip1
SNP_A-1732328	14416826	1.1554	chip1
SNP_A-1732547	14417622	1.1646	chip1
SNP_A-1720237	14423156	1.0436	chip2
SNP_A-1717829	14439974	0.6778	chip2
SNP_A-1707818	14516242	0.9914	chip2
SNP_A-1703221	14517066	0.8702	chip2
SNP_A-1677299	14526772	1.213	chip1
SNP_A-1678853	14527183	1.3996	chip1
SNP_A-1679013	14527258	2.2506	chip1
SNP_A-1679237	14527645	0.6029	chip1
SNP_A-1730047	14539952	1.4834	chip1
SNP_A-1731564	14541050	1.385	chip1
SNP_A-1735025	14546088	1.0392	chip1
SNP_A-1735313	14546518	0.4866	chip1
SNP_A-1649176	14566222	0.9485	chip2
SNP_A-1724292	14592895	1.2815	chip2
SNP_A-1645586	14596467	1.2164	chip2
SNP_A-1748023	14612262	0.7612	chip2
SNP_A-1730880	14613855	0.5211	chip1
SNP_A-1730990	14613941	0.8711	chip1
SNP_A-1756525	14618186	0.7834	chip2
SNP_A-1712304	14659928	0.8711	chip1
SNP_A-1721442	14687786	1.215	chip1
SNP_A-1721639	14687891	0.8832	chip1
SNP_A-1721747	14688005	1.1429	chip1
SNP_A-1691516	14696600	1.4027	chip2
SNP_A-1654765	14743816	0.6845	chip2
SNP_A-1656133	14744278	1.7028	chip2
SNP_A-1739256	14752268	1.6865	chip1
SNP_A-1739368	14752449	0.7266	chip1
SNP_A-1716367	14771576	1.3391	chip2
SNP_A-1749263	14771745	0.6675	chip2
SNP_A-1745707	14775306	1.1234	chip1
SNP_A-1675768	14789617	1.0977	chip2
SNP_A-1677151	14807519	0.9037	chip1
SNP_A-1680529	14813087	1.7822	chip1
SNP_A-1680813	14814670	0.7706	chip1
SNP_A-1687759	14821483	1.086	chip1
SNP_A-1687959	14822069	0.9139	chip1
SNP_A-1754110	14878827	1.6742	chip2
SNP_A-1704601	14881344	1.7663	chip2
SNP_A-1693827	14937687	0.8546	chip2
SNP_A-1729591	14948137	0.8219	chip1
SNP_A-1663340	14948471	1.57	chip2
SNP_A-1724790	14948568	1.1488	chip2
SNP_A-1735998	14960420	0.8459	chip1
SNP_A-1737658	14967943	1.4372	chip1
SNP_A-1672451	14999354	1.2191	chip1
SNP_A-1711018	15008235	0.9566	chip2
SNP_A-1749383	15012898	1.091	chip2
SNP_A-1757241	15012990	1.5459	chip2
SNP_A-1692796	15017462	0.6197	chip2
SNP_A-1684448	15032062	1.2836	chip2
SNP_A-1662126	15032440	0.7944	chip2
SNP_A-1736993	15033311	1.0877	chip2
SNP_A-1678672	15043293	1.0698	chip2
SNP_A-1643764	15043346	0.9584	chip2
SNP_A-1655609	15043892	1.1836	chip2
