Chip	Mean	Std
Chr01	0.4728	0.1328
Chr02	0.4728	0.1335
Chr03	0.4725	0.1327
Chr04	0.4728	0.133
Chr05	0.4726	0.1327
Chr06	0.4718	0.1322
Chr07	0.4719	0.132
Chr08	0.4723	0.1328
Chr09	0.4725	0.1325
Chr10	0.4721	0.1329
Chr11	0.4725	0.1321
Chr12	0.473	0.1331
Chr13	0.4729	0.1332
Chr14	0.4718	0.1328
Chr15	0.4726	0.1351
Chr16	0.4725	0.1343
Chr17	0.4728	0.1338
Chr18	0.4731	0.1334
Chr19	0.472	0.1332
Chr20	0.4728	0.1347
Chr21	0.4717	0.1312
Chr22	0.4725	0.1374
Chr23	0.4764	0.1423
Chip1	0.4725	0.1328
Chip2	0.4725	0.1328
Merge	0.4725	0.1328
