Chip	Mean	Std
Chr01	0.9083	0.2396
Chr02	0.9081	0.2411
Chr03	0.9081	0.2409
Chr04	0.9081	0.2408
Chr05	0.908	0.2402
Chr06	0.9076	0.2402
Chr07	0.9077	0.2392
Chr08	0.9075	0.2396
Chr09	0.9082	0.2397
Chr10	0.9079	0.2397
Chr11	0.9081	0.2389
Chr12	0.9084	0.2404
Chr13	0.9085	0.241
Chr14	0.9077	0.2397
Chr15	0.9079	0.2426
Chr16	0.9074	0.2397
Chr17	0.9084	0.2405
Chr18	0.9083	0.2405
Chr19	0.9079	0.2368
Chr20	0.9087	0.2412
Chr21	0.9078	0.2376
Chr22	0.9077	0.2435
Chr23	0.9081	0.2537
Chip1	0.9079	0.2398
Chip2	0.9079	0.2398
Merge	0.9079	0.2398
