Chip	Mean	Std
Chr01	0.4521	0.0857
Chr02	0.452	0.0847
Chr03	0.4575	0.0881
Chr04	0.4558	0.0873
Chr05	0.4566	0.0863
Chr06	0.4542	0.0848
Chr07	0.4541	0.0856
Chr08	0.4557	0.0834
Chr09	0.4531	0.086
Chr10	0.4592	0.0914
Chr11	0.4568	0.0873
Chr12	0.4557	0.0931
Chr13	0.4533	0.0859
Chr14	0.4507	0.0843
Chr15	0.4552	0.0875
Chr16	0.4556	0.0873
Chr17	0.4506	0.0917
Chr18	0.4559	0.0888
Chr19	0.4668	0.11
Chr20	0.4574	0.0905
Chr21	0.4534	0.083
Chr22	0.4504	0.0725
Chr23	0.4489	0.0825
Chip1	0.4511	0.1033
Chip2	0.4775	0.1668
Merge	0.4544	0.0852
