Chip	Mean	Std
Chr01	0.4483	0.0843
Chr02	0.4487	0.0835
Chr03	0.4534	0.0863
Chr04	0.4526	0.0864
Chr05	0.4521	0.0844
Chr06	0.4498	0.0837
Chr07	0.4499	0.0839
Chr08	0.4517	0.0821
Chr09	0.4491	0.084
Chr10	0.4547	0.0893
Chr11	0.4531	0.0857
Chr12	0.4511	0.0911
Chr13	0.4496	0.0846
Chr14	0.447	0.0827
Chr15	0.4514	0.0866
Chr16	0.4507	0.0854
Chr17	0.4455	0.0901
Chr18	0.4524	0.0875
Chr19	0.46	0.1078
Chr20	0.4532	0.0889
Chr21	0.4495	0.0824
Chr22	0.4432	0.0714
Chr23	0.4458	0.0816
Chip1	0.4474	0.1015
Chip2	0.4731	0.164
Merge	0.4504	0.0838
