Chip	Mean	Std
Chr01	0.8395	0.1709
Chr02	0.839	0.1764
Chr03	0.8433	0.1723
Chr04	0.8421	0.175
Chr05	0.8409	0.1666
Chr06	0.8387	0.1684
Chr07	0.8379	0.1664
Chr08	0.8416	0.1683
Chr09	0.8416	0.1698
Chr10	0.8431	0.1718
Chr11	0.8409	0.1804
Chr12	0.8382	0.1828
Chr13	0.839	0.1721
Chr14	0.8393	0.1729
Chr15	0.8399	0.178
Chr16	0.8399	0.1695
Chr17	0.8378	0.1752
Chr18	0.8386	0.1733
Chr19	0.8421	0.19
Chr20	0.8396	0.1696
Chr21	0.8423	0.1789
Chr22	0.8361	0.1424
Chr23	0.8093	0.1776
Chip1	0.8409	0.1714
Chip2	0.8446	0.2946
Merge	0.8394	0.1703
