Chip	Mean	Std
Chr01	0.4069	0.0583
Chr02	0.4069	0.0576
Chr03	0.4088	0.0583
Chr04	0.4072	0.0579
Chr05	0.4081	0.0584
Chr06	0.4101	0.0591
Chr07	0.4083	0.0579
Chr08	0.4071	0.0584
Chr09	0.407	0.0573
Chr10	0.4064	0.0592
Chr11	0.4088	0.0578
Chr12	0.4057	0.0586
Chr13	0.4081	0.0581
Chr14	0.4079	0.0595
Chr15	0.4067	0.0605
Chr16	0.4073	0.0609
Chr17	0.4076	0.0599
Chr18	0.4065	0.0584
Chr19	0.4108	0.0604
Chr20	0.4074	0.0619
Chr21	0.407	0.0598
Chr22	0.405	0.0631
Chr23	0.4179	0.0553
Chip1	0.416	0.0898
Chip2	0.411	0.0958
Merge	0.4077	0.0581
