Chip	Mean	Std
Chr01	0.4043	0.0592
Chr02	0.4049	0.0587
Chr03	0.407	0.0594
Chr04	0.4056	0.0589
Chr05	0.4064	0.0597
Chr06	0.4082	0.0601
Chr07	0.4062	0.0591
Chr08	0.4053	0.0596
Chr09	0.4044	0.0584
Chr10	0.4035	0.06
Chr11	0.4064	0.0587
Chr12	0.4031	0.0594
Chr13	0.4056	0.0589
Chr14	0.4059	0.0603
Chr15	0.4053	0.0618
Chr16	0.4048	0.0617
Chr17	0.4056	0.0613
Chr18	0.4044	0.0593
Chr19	0.4088	0.0619
Chr20	0.4043	0.063
Chr21	0.405	0.0603
Chr22	0.4018	0.0642
Chr23	0.4169	0.0557
Chip1	0.4137	0.0898
Chip2	0.4089	0.0983
Merge	0.4056	0.0591
