Chip	Mean	Std
Chr01	0.8178	0.1518
Chr02	0.8173	0.1511
Chr03	0.8197	0.1535
Chr04	0.8169	0.1525
Chr05	0.8186	0.1508
Chr06	0.8194	0.1515
Chr07	0.8193	0.1506
Chr08	0.8185	0.1546
Chr09	0.8176	0.1524
Chr10	0.8176	0.1528
Chr11	0.8192	0.1507
Chr12	0.8171	0.1516
Chr13	0.8185	0.154
Chr14	0.819	0.1521
Chr15	0.8194	0.1545
Chr16	0.8192	0.1519
Chr17	0.8206	0.1585
Chr18	0.8164	0.1506
Chr19	0.8229	0.1557
Chr20	0.8198	0.1527
Chr21	0.8187	0.153
Chr22	0.8186	0.1613
Chr23	0.8078	0.1463
Chip1	0.8229	0.2054
Chip2	0.825	0.2355
Merge	0.8181	0.1513
