Chip	Mean	Std
Chr01	0.508	0.2462
Chr02	0.5032	0.2369
Chr03	0.5035	0.2351
Chr04	0.4986	0.2271
Chr05	0.5044	0.2393
Chr06	0.5035	0.2393
Chr07	0.5037	0.2363
Chr08	0.5046	0.2403
Chr09	0.5047	0.2393
Chr10	0.5092	0.2482
Chr11	0.5071	0.2447
Chr12	0.5056	0.2422
Chr13	0.5017	0.2337
Chr14	0.5074	0.2448
Chr15	0.5069	0.2467
Chr16	0.5109	0.2529
Chr17	0.5165	0.2651
Chr18	0.504	0.2377
Chr19	0.5155	0.2601
Chr20	0.5133	0.258
Chr21	0.5054	0.2409
Chr22	0.5219	0.2818
Chr23	0.5108	0.2363
Chip1	0.5058	0.241
Chip2	0.5058	0.241
Merge	0.5058	0.241
