Chip	Mean	Std
Chr01	0.8721	0.3202
Chr02	0.8708	0.3124
Chr03	0.8711	0.3118
Chr04	0.8706	0.3066
Chr05	0.8716	0.3141
Chr06	0.8712	0.3157
Chr07	0.8712	0.312
Chr08	0.8705	0.3147
Chr09	0.871	0.3148
Chr10	0.8725	0.322
Chr11	0.8725	0.3187
Chr12	0.8724	0.3193
Chr13	0.8711	0.3109
Chr14	0.8729	0.3185
Chr15	0.8708	0.318
Chr16	0.8714	0.3225
Chr17	0.8731	0.3289
Chr18	0.8704	0.3139
Chr19	0.8721	0.3257
Chr20	0.8724	0.3257
Chr21	0.8721	0.3163
Chr22	0.8734	0.3449
Chr23	0.8594	0.3016
Chip1	0.871	0.3152
Chip2	0.871	0.3152
Merge	0.871	0.3152
