Chip	Mean	Std
Chr01	0.4541	0.1261
Chr02	0.4551	0.1258
Chr03	0.4556	0.1255
Chr04	0.4572	0.1248
Chr05	0.4554	0.1256
Chr06	0.4555	0.1252
Chr07	0.4554	0.1256
Chr08	0.4547	0.1247
Chr09	0.455	0.1256
Chr10	0.4542	0.1253
Chr11	0.4546	0.1264
Chr12	0.455	0.1261
Chr13	0.4566	0.1256
Chr14	0.4549	0.126
Chr15	0.4537	0.1248
Chr16	0.4516	0.1239
Chr17	0.4521	0.1262
Chr18	0.4549	0.1266
Chr19	0.452	0.1283
Chr20	0.4533	0.1268
Chr21	0.4563	0.1265
Chr22	0.4503	0.1269
Chr23	0.4548	0.1243
Chip1	0.4548	0.1253
Chip2	0.4548	0.1253
Merge	0.4548	0.1253
