Chip	Mean	Std
Chr01	0.9015	0.2748
Chr02	0.9023	0.2722
Chr03	0.9028	0.2718
Chr04	0.9037	0.268
Chr05	0.9026	0.2719
Chr06	0.9027	0.2713
Chr07	0.9026	0.2709
Chr08	0.9023	0.2703
Chr09	0.9025	0.2724
Chr10	0.9013	0.2733
Chr11	0.9019	0.2736
Chr12	0.9023	0.2737
Chr13	0.9034	0.27
Chr14	0.9023	0.2731
Chr15	0.901	0.2722
Chr16	0.8996	0.2738
Chr17	0.9	0.2785
Chr18	0.9022	0.2734
Chr19	0.8997	0.2796
Chr20	0.9012	0.2776
Chr21	0.9027	0.2715
Chr22	0.8982	0.2799
Chr23	0.8999	0.2729
Chip1	0.902	0.2721
Chip2	0.902	0.2721
Merge	0.902	0.2721
