Chip	Mean	Std
Chr01	0.8793	0.4164
Chr02	0.8788	0.4102
Chr03	0.8787	0.4055
Chr04	0.8782	0.4041
Chr05	0.8778	0.4055
Chr06	0.8781	0.4039
Chr07	0.878	0.4033
Chr08	0.8775	0.4074
Chr09	0.8784	0.4045
Chr10	0.8794	0.4151
Chr11	0.8785	0.4078
Chr12	0.8782	0.4063
Chr13	0.8783	0.4046
Chr14	0.8787	0.4118
Chr15	0.8787	0.4179
Chr16	0.8794	0.4199
Chr17	0.8793	0.4223
Chr18	0.8779	0.4084
Chr19	0.8782	0.4218
Chr20	0.8796	0.4235
Chr21	0.879	0.4079
Chr22	0.8791	0.4323
Chr23	0.8694	0.5035
Chip1	0.8779	0.412
Chip2	0.8779	0.412
Merge	0.8779	0.412
