Chip	Mean	Std
Chr01	0.5227	0.3363
Chr02	0.5193	0.3266
Chr03	0.5191	0.3237
Chr04	0.5158	0.3184
Chr05	0.5182	0.3231
Chr06	0.5163	0.3181
Chr07	0.5185	0.3217
Chr08	0.5185	0.3256
Chr09	0.518	0.322
Chr10	0.523	0.3329
Chr11	0.5199	0.3252
Chr12	0.5182	0.3234
Chr13	0.5166	0.3172
Chr14	0.5201	0.3267
Chr15	0.5231	0.3388
Chr16	0.5243	0.343
Chr17	0.5267	0.3461
Chr18	0.519	0.3257
Chr19	0.5296	0.3509
Chr20	0.5262	0.3429
Chr21	0.5202	0.3266
Chr22	0.5312	0.3628
Chr23	0.5506	0.4513
Chip1	0.5206	0.3309
Chip2	0.5206	0.3309
Merge	0.5206	0.3309
