Chip	Mean	Std
Chr01	0.389	0.0441
Chr02	0.3908	0.0453
Chr03	0.3929	0.0467
Chr04	0.3919	0.0472
Chr05	0.3908	0.046
Chr06	0.3927	0.0465
Chr07	0.3899	0.0461
Chr08	0.3911	0.0461
Chr09	0.3891	0.0459
Chr10	0.3885	0.0447
Chr11	0.3894	0.0451
Chr12	0.3894	0.0453
Chr13	0.3921	0.0474
Chr14	0.3901	0.0462
Chr15	0.3907	0.0458
Chr16	0.3895	0.0446
Chr17	0.3885	0.0444
Chr18	0.3904	0.0457
Chr19	0.3912	0.0455
Chr20	0.3862	0.0452
Chr21	0.3917	0.0475
Chr22	0.3835	0.0459
Chr23	0.3944	0.0451
Chip1	0.3983	0.0678
Chip2	0.3882	0.0619
Merge	0.3903	0.0451
