Chip	Mean	Std
Chr01	0.7947	0.1222
Chr02	0.7962	0.1257
Chr03	0.7978	0.1266
Chr04	0.796	0.1299
Chr05	0.7969	0.1253
Chr06	0.7977	0.1273
Chr07	0.7972	0.1259
Chr08	0.7969	0.126
Chr09	0.7963	0.1244
Chr10	0.7955	0.1212
Chr11	0.7961	0.1239
Chr12	0.7954	0.1247
Chr13	0.7967	0.1292
Chr14	0.7965	0.1237
Chr15	0.7963	0.1228
Chr16	0.7976	0.1197
Chr17	0.7978	0.1199
Chr18	0.7954	0.1251
Chr19	0.8012	0.1188
Chr20	0.7963	0.1199
Chr21	0.7975	0.1262
Chr22	0.7949	0.1198
Chr23	0.7803	0.1417
Chip1	0.8044	0.1748
Chip2	0.7971	0.1667
Merge	0.796	0.1239
