Chip	Mean	Std
Chr01	0.7858	0.1227
Chr02	0.7883	0.1261
Chr03	0.7909	0.1271
Chr04	0.7881	0.1295
Chr05	0.7899	0.126
Chr06	0.7909	0.1275
Chr07	0.7893	0.1263
Chr08	0.7902	0.1264
Chr09	0.7878	0.125
Chr10	0.7876	0.1218
Chr11	0.7878	0.1241
Chr12	0.7876	0.125
Chr13	0.788	0.1283
Chr14	0.7888	0.1245
Chr15	0.7905	0.1241
Chr16	0.7902	0.1208
Chr17	0.7904	0.1211
Chr18	0.788	0.1254
Chr19	0.7949	0.1208
Chr20	0.7874	0.1208
Chr21	0.7911	0.1263
Chr22	0.7864	0.1224
Chr23	0.7765	0.1425
Chip1	0.7953	0.1734
Chip2	0.7902	0.1682
Merge	0.7885	0.1244
