Probe_Set	Phy_position	CPA	chiptype
SNP_A-1745948	19285288	2.5477	chip2
SNP_A-1751903	19297764	1.5824	chip2
SNP_A-1744958	19387587	0.6034	chip1
SNP_A-1677577	19440006	0.608	chip1
SNP_A-1728271	19479339	0.9757	chip2
SNP_A-1710646	19490178	0.9316	chip2
SNP_A-1698989	19490525	0.7238	chip2
SNP_A-1739152	19494891	0.9725	chip1
SNP_A-1693300	19537170	1.0106	chip2
SNP_A-1675342	19550590	1.3339	chip1
SNP_A-1646392	19558031	1.7119	chip2
SNP_A-1680522	19559978	1.4183	chip2
SNP_A-1703117	19560452	1.0647	chip2
SNP_A-1728555	19560756	0.771	chip2
SNP_A-1751157	19574026	1	chip2
SNP_A-1749285	19574275	1.3548	chip2
SNP_A-1754154	19575031	0.639	chip2
SNP_A-1655439	19581513	1.0148	chip2
SNP_A-1722608	19582450	1.2775	chip2
SNP_A-1745532	19582612	0.982	chip2
SNP_A-1731254	19584863	1	chip1
SNP_A-1732765	19585276	1.4157	chip1
SNP_A-1733261	19586195	0.7272	chip1
SNP_A-1734883	19587341	0.9871	chip1
SNP_A-1734983	19587488	1.3272	chip1
SNP_A-1735097	19587510	0.6437	chip1
SNP_A-1735197	19587528	0.8688	chip1
SNP_A-1735321	19587561	1.1438	chip1
SNP_A-1747020	19588421	1.0743	chip1
SNP_A-1747178	19588458	1.1952	chip1
SNP_A-1749292	19592839	1.1886	chip1
SNP_A-1733040	19594095	0.9955	chip2
SNP_A-1713856	19599017	2.173	chip2
SNP_A-1704853	19599492	1.6415	chip2
SNP_A-1643931	19631920	0.9134	chip1
SNP_A-1688987	19673739	0.9448	chip1
SNP_A-1694096	19696043	1.3388	chip1
SNP_A-1758266	19711530	1.1591	chip2
SNP_A-1732734	19719215	1.8522	chip2
SNP_A-1699619	19742069	0.6162	chip2
SNP_A-1715213	19742349	0.6585	chip2
SNP_A-1680454	19760008	1.6648	chip2
SNP_A-1745740	19761169	0.6631	chip2
SNP_A-1743923	19761450	0.9217	chip2
SNP_A-1690994	19761802	1.4793	chip2
SNP_A-1668751	19872155	1.278	chip2
SNP_A-1701669	19872547	1.2312	chip2
SNP_A-1735340	19892935	0.8816	chip2
SNP_A-1667394	19894021	1.5187	chip2
SNP_A-1725240	19932910	0.8408	chip2
