Chip	Mean	Std
Chr01	0.5091	0.4012
Chr02	0.5079	0.4066
Chr03	0.5063	0.4017
Chr04	0.5015	0.4001
Chr05	0.5051	0.3967
Chr06	0.5041	0.3936
Chr07	0.5036	0.3971
Chr08	0.5051	0.4004
Chr09	0.507	0.4007
Chr10	0.5086	0.3994
Chr11	0.5086	0.3968
Chr12	0.5071	0.3983
Chr13	0.5016	0.3994
Chr14	0.5065	0.3953
Chr15	0.5105	0.4007
Chr16	0.5128	0.4009
Chr17	0.5173	0.4058
Chr18	0.5079	0.4075
Chr19	0.5139	0.3957
Chr20	0.5137	0.4014
Chr21	0.5042	0.3849
Chr22	0.5232	0.4175
Chr23	0.5246	0.4492
Chip1	0.5075	0.4007
Chip2	0.5075	0.4007
Merge	0.5075	0.4007
