Chip	Mean	Std
Chr01	0.8775	0.5358
Chr02	0.8765	0.5423
Chr03	0.8768	0.5381
Chr04	0.8755	0.5398
Chr05	0.8763	0.5346
Chr06	0.8762	0.5318
Chr07	0.8753	0.5342
Chr08	0.8751	0.5372
Chr09	0.8767	0.5353
Chr10	0.8761	0.5336
Chr11	0.8775	0.5309
Chr12	0.8764	0.5336
Chr13	0.8761	0.5396
Chr14	0.8761	0.5325
Chr15	0.8771	0.5306
Chr16	0.8775	0.5305
Chr17	0.8788	0.5323
Chr18	0.8769	0.5424
Chr19	0.8768	0.5172
Chr20	0.8782	0.5328
Chr21	0.8768	0.519
Chr22	0.8799	0.54
Chr23	0.8784	0.551
Chip1	0.8765	0.5349
Chip2	0.8765	0.5349
Merge	0.8765	0.5349
