Chip	Mean	Std
Chr01	0.8965	0.2873
Chr02	0.896	0.2856
Chr03	0.8963	0.283
Chr04	0.8957	0.2788
Chr05	0.8962	0.2828
Chr06	0.8955	0.2818
Chr07	0.8954	0.2815
Chr08	0.8952	0.2844
Chr09	0.896	0.2847
Chr10	0.8962	0.2879
Chr11	0.8962	0.2846
Chr12	0.8966	0.2848
Chr13	0.8966	0.2814
Chr14	0.8959	0.2857
Chr15	0.896	0.2907
Chr16	0.8957	0.2922
Chr17	0.8969	0.2957
Chr18	0.896	0.2851
Chr19	0.8963	0.2943
Chr20	0.8971	0.2945
Chr21	0.8957	0.2813
Chr22	0.8966	0.3074
Chr23	0.8964	0.3063
Chip1	0.896	0.2851
Chip2	0.896	0.2851
Merge	0.896	0.2851
