Chip	Mean	Std
Chr01	0.4711	0.1763
Chr02	0.4706	0.1748
Chr03	0.4703	0.1725
Chr04	0.4705	0.1702
Chr05	0.4705	0.1725
Chr06	0.4695	0.1708
Chr07	0.4695	0.1709
Chr08	0.4701	0.1745
Chr09	0.4703	0.1739
Chr10	0.4707	0.1765
Chr11	0.4706	0.1748
Chr12	0.471	0.1735
Chr13	0.4708	0.1715
Chr14	0.4701	0.1752
Chr15	0.4707	0.1782
Chr16	0.4707	0.1801
Chr17	0.4711	0.1805
Chr18	0.471	0.1752
Chr19	0.4702	0.1801
Chr20	0.4714	0.1821
Chr21	0.4691	0.1703
Chr22	0.4721	0.1922
Chr23	0.4785	0.2056
Chip1	0.4706	0.1747
Chip2	0.4706	0.1747
Merge	0.4706	0.1747
